model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Citroën C4 1,6 e-HDi 112 Seduction E6G",64800,168000,2012,112,24,190,Diese,1.300,1.265,Automatis,5
"Citroën C4 1,6 BlueHDi 100 Coo",114900,84000,2018,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C3 1,4 Furio",17500,110000,2007,75,16,168,Benzin,900,1.000,Manue,5
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Seduction ETG6",169800,66000,2014,115,25,189,Diese,,1.295,Automatis,5
"Citroën DS3 1,6 e-HDi 90 Style",79900,72000,2015,92,28,182,Diese,,1.230,Manue,3
"Citroën C3 1,5 BlueHDi 100 Triumph",144900,33000,2020,100,34,188,Diese,600,1.211,Manue,5
"Citroën C3 1,2 PureTech 82 Supreme",112000,25943,2019,82,25,173,Benzin,450,1.097,Manue,5
Citroën Berlingo Advance,39900,84000,2007,75,14,150,Benzin,775,1.125,Manue,4
Citroën C1 Cli,38800,66000,2009,68,22,157,Benzin,,775,Manue,5
Citroën C1,19900,209000,2006,68,22,157,Benzin,,775,Manue,5
Citroën C1,26900,147000,2009,68,22,157,Benzin,,800,Manue,5
"Citroën C3 1,4 Furio Cli",29800,90000,2007,75,16,168,Benzin,900,1.000,Manue,5
"Citroën C1 1,0 VTi 68 Fee",49900,102000,2016,68,26,157,Benzin,,860,Manue,5
"Citroën C4 Cactus 1,5 BlueHDi 100 Origins",159900,47000,2019,100,30,190,Diese,950,1.160,Manue,5
Citroën C1 SX,13500,193000,2008,68,22,157,Benzin,,775,Manue,5
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Intensive+ EAT6",174900,140000,2017,120,25,188,Diese,1.500,1.625,Automatis,5
"Citroën C3 1,4 HDI Prestige  5d",15800,228000,2007,70,23,,Diese,,1.500,Manue,
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Iconic",199900,58000,2017,120,25,189,Diese,1.500,1.625,Manue,5
Citroën C1 Prestige,28800,152000,2008,68,22,157,Benzin,,775,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",74800,53000,2019,72,29,160,Benzin,,949,Manue,5
Citroën C3 Aircross,174900,5500,2020,110,23,188,Benzin,840,1.234,Manue,5
"Citroën C4 1,2 PT 130 Feel EAT6",119800,80000,2015,130,20,197,Benzin,1.550,1.410,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Cool Comfo",104900,79000,2017,100,32,184,Diese,870,1.070,Manue,5
"Citroën DS4 2,0 HDi 163 Style",99800,101000,2012,163,20,212,Diese,1.300,1.295,Manue,5
"Citroën Grand C4 Picasso 1,6 HDi 110 7prs",59999,150000,2008,110,18,180,Diese,880,1.505,Manue,5
"Citroën C5 2,0 HDi 140 Comfort Toure",64900,165000,2010,140,17,200,Diese,1.500,1.811,Manue,5
"Citroën C1 1,2 PT 82 Feel Comple",64800,52000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C4 Picasso 2,0 BlueHDi 150 Intensive",123900,138000,2014,150,24,210,Diese,1.700,1.640,Manue,5
