model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Citroën C4 1,6 HDi 110 SX E6G",34900,225000,2008,110,22,192,Diese,1.300,1.291,Automatis,5
"Citroën C1 1,2 PT 82 Shine",53800,121000,2016,82,23,170,Benzin,,865,Manue,5
Citroën Grand C4 Picasso,189700,82000,2017,130,20,201,Benzin,1.350,1.575,Manue,5
"Citroën C1 1,2 PT 82 Coo",70000,56000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",79900,167000,2014,82,22,167,Benzin,720,965,Manue,5
"Citroën C3 Picasso 1,6 e-HDi 90 Seduction E6G",64800,155000,2012,90,24,174,Diese,1.200,1.441,Automatis,5
Citroën Grand C4 Picasso,179900,66260,2015,130,20,196,Benzin,1.350,1.575,Manue,5
"Citroën C3 1,4 HDi 70 Seduction",49800,107000,2013,70,28,163,Diese,700,1.190,Manue,5
"Citroën C5 1,6 e-HDi 112 Seduction E6G",39900,399000,2013,112,22,190,Diese,1.100,1.425,Automatis,4
"Citroën C6 2,7 HDi V6 Exclusive au",159900,239000,2008,208,12,230,Diese,1.700,1.846,Automatis,4
"Citroën Jumpy 2,0 L2 2,0 Blue HDi Masterline EAT8 177HK Van 8g Au",237052,1,2020,177,17,,Diese,,,,
"Citroën Berlingo 1,5 L1N1 1,5 Blue HDi start/stop 75HK Van",108000,1,2021,75,24,,Diese,,,,
"Citroën Jumpy 2,0 L3 2,0 Blue HDi Fleetline 122HK Van 6",196990,0,2021,122,19,,Diese,,,,
"Citroën C4 1,6 Coupé",5000,247000,2006,109,14,194,Benzin,1.200,1.200,Manue,3
"Citroën C4 Cactus 1,2 PureTech 82 Feel ETG",109900,76000,2015,82,23,172,Benzin,725,975,Automatis,5
Citroën C1 Seduction,24800,219000,2013,68,23,157,Benzin,,805,Manue,5
Citroën C1 Seduction,29800,183000,2013,68,23,157,Benzin,,805,Manue,5
"Citroën DS3 1,6 THP 207 Racin",149900,58000,2011,207,16,235,Benzin,,1.140,Manue,3
"Citroën C4 Picasso 1,6 HDI",9900,328000,2007,110,17,,Diese,,2.250,Manue,
"Citroën C4 Cactus 1,2 PT 82 Fee",98800,100000,2015,82,22,167,Benzin,720,965,Manue,5
"Citroën C5 1,6 HDi 110 Dynamique",57500,97000,2009,110,18,191,Diese,1.150,1.478,Manue,4
"Citroën DS4 1,6 e-HDi 115 Style E6G",79700,179000,2014,115,23,190,Diese,1.300,1.428,Automatis,5
"Citroën C3 1,6 BlueHDi 100 Seduction Upgrade",54500,156000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C3 1,4 HDi 70 Seduction",54900,137000,2014,70,26,163,Diese,700,1.190,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Iconic Free",144800,45000,2018,100,32,184,Diese,870,1.070,,5
"Citroën DS4 1,6",89900,72000,2011,111,,,Diese,,,Automatis,
"Citroën C1 1,0 e-VTi 68 Feel Airscape",59900,56000,2015,68,26,157,Benzin,,876,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel Comple",99800,87000,2016,100,30,180,Diese,1.550,1.440,Manue,5
Citroën C5 16V Elegance,14900,188000,2004,143,12,210,Benzin,1.500,1.300,Manue,5
"Citroën C4 Cactus 1,2 PureTech 82 Feel ETG",114900,74000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën C1 1,0 VTi 72 SportLine",79900,13000,2018,72,29,160,Benzin,,949,Manue,5
Citroën C1 Exclusive,39900,159000,2014,68,23,157,Benzin,,805,Manue,5
Citroën Grand C4 SpaceToure,229500,63000,2018,120,25,189,Diese,1.500,1.322,Manue,5
Citroën C4 Picasso,159500,99000,2017,120,26,189,Diese,1.600,1.555,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",82900,150000,2016,100,32,184,Diese,870,1.070,Manue,5
"Citroën C1 1,0 VTi 72 Shine",95000,5000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 Shine",97000,5000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 Shine",96900,5000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 Shine",96900,5000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 Shine Limited",89900,5000,2020,72,30,160,Benzin,,949,Manue,5
Citroën C4 PureTech Feel EAT6 start/stop 130HK 5d 6g Au,149900,75073,2015,130,,,Benzin,,,Automatis,
"Citroën C1 1,0 e-VTi 68 Feel 5 dørs",49800,143000,2015,,,,Benzin,,,,
"Citroën C1 PureTech Iconic 82HK 5d
                A+",68900,26000,2017,,23,,Benzin,,,Manue,
"Citroën C1 VTi Iconic+ 72HK 5d
                A+++",69900,56000,2018,,29,,Benzin,,,Manue,
"Citroën C3 Blue HDi Skyline 100HK 5d
                A+",109900,55000,2018,,27,,Diese,,,Manue,
"Citroën C4 Picasso 1,6 HDi 112 Seduction E6G",57500,144000,2011,112,20,182,Diese,1.070,1.656,Automatis,5
Citroën Berlingo 16V Multispace Cli,34900,194000,2005,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën C4 2,0 16V Prestige",29900,210000,2007,138,13,207,Benzin,1.300,1.250,Manue,5
"Citroën C4 Cactus 1,6 Blue HDi Feel+ start/stop 100HK 5d",104800,89000,2016,100,32,,Diese,,,,
"Citroën C4 Cactus 1,2 PureTech 82 Feel Edition ETG",119900,48000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën C4 1,6 HDi 110 SX Pack E6G",29900,235000,2008,110,22,192,Diese,1.300,1.291,Automatis,5
Citroën C1 Seduction Cli,34900,79000,2012,68,23,157,Benzin,,775,Manue,5
"Citroën C4 Cactus 1,2 PureTech 82 Feel ETG",109900,115000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën C3 Picasso 1,6 BlueHDi 100 Feel Edition Complete",99900,89000,2016,100,26,179,Diese,900,1.420,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Iconic",119800,109000,2018,100,28,184,Diese,950,1.218,Manue,5
Citroën Berlingo 16V Multispace Cli,27900,229000,2004,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën Grand C4 Picasso 2,0 HDi 150 Exclusive",79900,156000,2013,150,18,195,Diese,,1.670,Manue,5
"Citroën C1 1,0 e-VTi 68 Fee",47700,112000,2015,68,26,157,Benzin,,860,Manue,5
"Citroën C1 1,0 Clim 68HK 5d",29900,156000,2010,68,22,157,Benzin,,,,5
"Citroën Berlingo 1,5 BlueHDi 75 Stree",207500,23000,2019,75,27,153,Diese,1.000,1.592,Manue,5
"Citroën C3 1,4 VTi Exclusive",49999,158000,2010,95,17,184,Benzin,1.150,1.050,Manue,5
Citroën C4,359800,3000,2021,130,26,206,Diese,1.200,1.289,Automatis,5
Citroën ë-C4 Shine Spo,310000,2000,2021,136,68,150,other,,1.516,Automatis,5
"Citroën C1 1,0 VTi 72 SportLine",75000,50000,2019,72,29,160,Benzin,,949,Manue,5
Citroën C5 Aircross,259700,31000,2019,130,21,188,Benzin,1.350,1.379,Manue,5
"Citroën C4 1,4 16V Advance",18800,95000,2005,90,16,182,Benzin,1.200,1.175,Manue,5
"Citroën C3 1,4 HDi Seduction",45500,96000,2011,70,26,163,Diese,700,1.190,Manue,5
"Citroën C4 Picasso 1,6 Blue HDi Iconic EAT6 start/stop 120HK 6g Au",184900,41500,2018,120,26,,Diese,,,Automatis,
Citroën Berlingo 16V Nordic Multispace,59900,196000,2009,90,12,160,Benzin,1.200,1.375,Manue,5
Citroën Berlingo 16V Multispace,34900,171000,2005,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën C3 1,4 HDi 70 Seduction",49900,165000,2014,70,28,163,Diese,700,1.190,Manue,5
"Citroën DS3 1,6 e-HDi 90 Style",57900,134000,2012,92,28,182,Diese,500,1.085,Manue,3
"Citroën DS3 1,2 VTi 82 Design",54900,125000,2013,82,22,172,Benzin,,1.050,Manue,3
"Citroën C3 Aircross 1,6 BlueHDi 100 Iconic",154900,78000,2017,100,27,175,Diese,840,1.178,Manue,5
"Citroën DS3 1,2 VTi 82 Style",74800,67000,2013,82,22,172,Benzin,,1.050,Manue,3
Citroën C4 Cactus,159900,21472,2019,110,24,188,Benzin,950,1.005,Manue,5
"Citroën C1 1,0 e-VTi 68 Feel Airscape",41900,163000,2015,68,26,157,Benzin,,876,Manue,5
"Citroën C1 1,2 PureTech Feel Complet  5d",74900,10400,2014,82,23,170,Benzin,,1.240,Manue,4
"Citroën C1 1,0 VTi 72 VTR",79800,44000,2019,72,30,160,Benzin,,949,Manue,5
Citroën C3 Aircross,149900,76000,2017,100,27,175,Diese,840,1.178,Manue,5
"Citroën C3 1,0 VTi 68 Seduction",49999,85000,2013,68,23,163,Benzin,775,1.120,,5
"Citroën C3 1,4 HDi Dynamique",39900,139000,2010,70,24,162,Diese,700,1.050,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Feel Free",89900,168000,2017,100,32,184,Diese,870,1.070,Manue,5
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Seduction",99500,227000,2013,115,25,189,Diese,1.500,1.295,Manue,5
"Citroën C4 Picasso 1,6 e-HDi 115 Intensive ETG6",129900,149000,2013,115,25,189,Diese,1.600,1.555,Automatis,5
Citroën C3,99000,108000,2018,100,31,189,Diese,1.150,1.280,Manue,5
"Citroën C3 1,4 Plurie",28000,128000,2004,75,15,164,Benzin,600,1.100,Manue,2
"Citroën C5 Aircross 1,6 Hybrid Shine Sport EAT8",349800,9000,2020,225,39,235,Benzin,1.300,1.755,Automatis,5
"Citroën C3 1,4 HDi Attraction",24800,231000,2012,70,26,163,Diese,700,1.190,Manue,5
"Citroën Berlingo 1,6 HDi Multispace",34900,230000,2006,90,19,160,Diese,1.100,1.215,Manue,5
"Citroën C3 Picasso 1,6 HDi 90 Comfo",34000,239000,2010,90,22,174,Diese,1.200,1.401,Manue,5
"Citroën DS3 1,6 HDi 90 Style",45900,157000,2011,90,25,180,Diese,500,1.068,Manue,3
"Citroën C3 1,4 HDi 70 Attraction",74900,25000,2014,70,26,163,Diese,700,1.190,Manue,5
Citroën C5 Exclusive,9500,239000,2005,138,12,208,Benzin,1.500,1.350,Manue,5
Citroën Berlingo 16V Clim Modutop,19900,265000,2006,109,14,170,Benzin,1.100,1.225,Manue,5
"Citroën C3 1,2 PT 82 Seduction Comple",61900,148000,2016,82,23,174,Benzin,800,1.140,Manue,5
"Citroën C3 1,2 PT 82 Seduction Comple",70900,99000,2016,82,22,174,Benzin,800,1.140,Manue,5
"Citroën C3 1,5 BlueHDi 100 Coo",132800,8000,2020,100,33,188,Diese,600,1.211,Manue,5
"Citroën DS4 1,6 HDi 112 Style",79800,186000,2011,112,21,190,Diese,1.300,1.428,Manue,5
"Citroën C4 1,6 HDi 90 Seduction",54900,217000,2013,92,24,180,Diese,1.100,1.388,Manue,5
"Citroën C3 1,5 BlueHDi 100 Coo",134800,11000,2020,100,33,188,Diese,600,1.211,Manue,5
"Citroën C3 1,5 BlueHDi 100 Coo",134800,11000,2020,100,33,188,Diese,600,1.211,Manue,5
"Citroën 2CV 0,6 Dolly",89800,103000,1986,29,,,Benzin,,,Manue,4
"Citroën 2CV 0,6",119800,32000,1988,29,,125,Benzin,,575,Manue,4
"Citroën DS23 2,3 Break Commerciale",219800,143000,1972,115,,,Benzin,,,Manue,5
"Citroën C5 2,0 HDi 138 Dynamique Toure",16900,425000,2008,138,16,200,Diese,1.500,1.630,Manue,5
"Citroën C3 1,2 PT 82 Iconic",109780,44000,2018,82,22,177,Benzin,450,955,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel+",109800,100000,2017,100,30,180,Diese,1.550,1.440,Manue,5
Citroën C1 Seduction Cli,39800,152000,2014,68,23,157,Benzin,,805,Manue,5
Citroën C4 Cactus,124500,53000,2017,100,32,184,Diese,870,1.070,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",84800,13000,2019,72,30,160,Benzin,,949,Manue,5
"Citroën C2 1,4 Prestige",14800,185000,2003,75,17,169,Benzin,450,975,Manue,3
"Citroën C3 1,4 HDi Furio",18900,183000,2008,70,23,165,Diese,900,1.050,Manue,5
"Citroën C1 1,0 e-VTi 68 Shine",49900,115000,2014,68,26,157,Benzin,,860,Manue,5
"Citroën C3 1,6 BlueHDi 75 Iconic+",89800,112000,2018,75,31,174,Diese,600,1.065,Manue,5
Citroën Berlingo 16V Multispace Cli,34900,207000,2005,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Feel ETG6",124900,89000,2015,100,29,184,Diese,825,1.160,Automatis,5
"Citroën C3 Picasso 1,4 VTi 95 Comfo",49800,171000,2009,95,15,178,Benzin,1.100,1.234,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel Comple",99880,112000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Feel Comple",107900,91000,2016,82,22,167,Benzin,720,965,Manue,5
"Citroën C3 1,4 HDi Dynamique",49900,118000,2011,70,25,162,Diese,700,1.050,Manue,5
"Citroën C5 2,0 HDi 138 Comfort Tourer au",51900,179000,2008,138,14,198,Diese,1.200,1.670,Automatis,5
"Citroën Grand C4 SpaceTourer 1,5 BlueHDi 130 Iconic EAT8",249900,42000,2019,130,28,198,Diese,1.500,1.586,Automatis,5
"Citroën C3 1,2 PT 82 VTR Spo",129900,24000,2019,82,26,173,Benzin,450,1.097,Manue,5
"Citroën C3 Picasso 1,6 e-HDi 90 Seduction E6G",69800,114000,2012,90,24,174,Diese,1.200,1.441,Automatis,5
"Citroën C3 1,5 BlueHDi 100 Coo",134800,9000,2020,100,33,188,Diese,600,1.211,Manue,5
"Citroën DS4 1,6 e-HDi 115 Style",104900,77000,2013,115,23,190,Diese,1.300,1.450,Manue,5
"Citroën C1 1,0 e-VTi 68 Shine",64900,69000,2017,68,26,157,Benzin,,860,Manue,5
Citroën Berlingo 16V Multispace,28900,218000,2004,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën C3 Picasso 1,6 BlueHDi 100 Upgrade",82500,82000,2015,100,26,179,Diese,900,1.420,Manue,5
"Citroën C4 1,6 BlueHDi 100 Fee",97900,120000,2015,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën Grand C4 Picasso 1,2 PT 130 Iconic",219900,25000,2018,130,20,201,Benzin,1.350,1.575,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",99800,101000,2015,82,22,167,Benzin,720,965,Manue,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Exclusive EAT6",119900,231000,2014,150,22,207,Diese,1.600,1.710,Automatis,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive EAT6",199800,101000,2016,150,23,207,Diese,1.600,1.710,Automatis,5
"Citroën C1 1,2 PT 82 Spo",67500,53000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C5 2,0 HDi 16V Prestige Weekend",9900,379000,2005,138,17,200,Diese,1.400,1.525,Manue,5
"Citroën C4 1,6 HDi 92 Comfo",49900,202000,2011,92,24,180,Diese,1.350,1.180,Manue,5
"Citroën Grand C4 Picasso 2,0 16V VTR+ E6G",48900,230000,2008,143,12,195,Benzin,1.200,1.638,Automatis,5
Citroën C4 Blue HDi Feel start/stop 100HK 5d,99800,88000,2015,,30,,Diese,,,Manue,
"Citroën Grand C4 Picasso 1,8 16V VTR+ 7prs",45900,230000,2007,127,12,185,Benzin,1.200,1.601,Manue,5
"Citroën C3 Picasso 1,6",15000,343000,2010,108,,,Diese,,,Manue,
"Citroën C3 Picasso 1,4 VTi 95 Comfo",59800,105000,2010,95,15,178,Benzin,1.100,1.234,Manue,5
"Citroën C3 1,4 VTi Attraction",44800,97000,2010,95,17,184,Benzin,1.150,1.050,Manue,5
"Citroën C5 2,0 HDi 140 Comfort Toure",54900,175000,2009,140,17,200,Diese,1.800,1.630,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Feel+",89900,163000,2017,100,32,184,Diese,870,1.070,Manue,5
"Citroën C5 2,0 HDi 163 Seduction au",39500,200000,2011,163,15,210,Diese,1.100,1.739,Automatis,4
"Citroën C4 1,6 BlueHDi 100 Iconic",125900,57000,2017,100,30,180,Diese,1.550,1.440,Manue,5
Citroën C5 16V Advance,24800,207000,2007,116,13,196,Benzin,1.500,1.275,Manue,5
"Citroën C5 Aircross 1,5 BlueHDi 130 Iconic EAT8",279900,40000,2019,130,27,188,Diese,1.450,1.405,Automatis,5
"Citroën C3 1,2 VTi 82 Seduction",59900,99000,2013,82,22,174,Benzin,800,1.140,Manue,5
"Citroën C1 1,0 VTi VTR 72HK 5d",89900,5119,2019,72,30,,Benzin,,,,
"Citroën C1 1,2 PT 82 Iconic",74321,39000,2018,82,23,170,Benzin,,865,Manue,5
"Citroën C3 1,2 PT 110 Triumph EAT6",194321,13000,2020,110,23,188,Benzin,450,1.216,Automatis,5
"Citroën C1 1,2 PT 82 Shine",55800,122000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C3 1,2 PT 110 Triumph EAT6",189321,22000,2020,110,23,188,Benzin,450,1.216,Automatis,5
"Citroën Grand C4 SpaceTourer 1,2 PT 130 Platinum LTD",227321,34000,2019,130,22,201,Benzin,1.350,1.575,Manue,5
"Citroën C3 Picasso 1,4 VTi 95 Comfo",49900,195000,2009,95,15,178,Benzin,1.100,1.234,Manue,5
"Citroën C3 Picasso 1,6 e-HDi 90 Seduction E6G",59900,97000,2012,90,24,174,Diese,1.200,1.441,Automatis,5
"Citroën C4 1,6 BlueHDi 100 Millesime",139800,38000,2018,100,30,180,Diese,1.550,1.440,Manue,5
Citroën C5 16V Prestige Weekend,24800,271000,2006,138,12,203,Benzin,1.500,1.350,Manue,5
"Citroën C3 1,4 Prestige",14900,164000,2005,75,16,168,Benzin,900,1.000,Manue,5
"Citroën C3 1,4",24900,124000,2006,73,16,,Benzin,,1.000,Manue,5
Citroën C5 16V Prestige,6900,333000,2003,138,12,208,Benzin,1.500,1.350,Manue,5
"Citroën C1 1,2 PT 82 Comple",69900,56000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën DS3 1,6 VTi 120 Style Cabrio",109900,99000,2014,120,17,190,Benzin,,1.215,Manue,2
"Citroën C1 1,0 e-VTi 68 Live",39900,111000,2015,68,26,157,Benzin,,860,Manue,5
Citroën Berlingo 16V Family,14600,324000,2004,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën C4 Cactus 1,5 BlueHDi 100 SkyLine",149900,50000,2018,100,28,190,Diese,950,1.160,Manue,5
Citroën C1 Seduction,21900,149000,2012,68,22,157,Benzin,,775,Manue,5
"Citroën DS3 1,6 THP 156 DSpo",54900,161000,2011,156,15,214,Benzin,900,1.140,Manue,3
"Citroën C4 1,6 HDi 110 Seduction",64900,126000,2012,110,22,192,Diese,1.300,1.275,Manue,5
Citroën Grand C4 SpaceToure,228500,30900,2019,130,21,201,Benzin,1.350,1.575,Manue,5
"Citroën C4 1,6 BlueHDi 100 Live",84900,135000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën Grand C4 Picasso 1,6 e-HDi 112 Seduction E6G",59800,176000,2011,112,20,182,Diese,1.050,1.635,Automatis,5
"Citroën C3 1,4 Hdi Au",22500,250000,2004,68,,,Diese,,,Automatis,
"Citroën C1 1,2 PureTech Extravaganza 82HK 5d",74900,49800,2016,82,23,,Benzin,,,,
"Citroën Grand C4 Picasso 1,6 HDi 110 Seduction 7prs",79900,142000,2012,110,19,181,Diese,880,1.693,Manue,5
"Citroën C1 1,0 e-VTi 68 Fee",44800,123000,2015,68,26,157,Benzin,,860,Manue,5
"Citroën C4 1,6 e-HDi 112 Seduction E6G",74900,103000,2011,112,24,190,Diese,1.300,1.265,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",99900,87000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Seduction",54900,149000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën C1 1,0 e-VTi 68 Scoop",53500,81000,2014,68,26,157,Benzin,,860,Manue,5
"Citroën C4 1,6 HDi 110 SX Pack E6G",39800,159000,2010,110,23,192,Diese,1.300,1.291,Automatis,5
"Citroën C5 2,0 HDi 163 Comfort Tourer au",59700,224000,2011,163,16,208,Diese,1.000,1.696,Automatis,5
"Citroën C3 1,4 HDi Seduction",39900,140000,2011,70,26,163,Diese,700,1.190,Manue,5
"Citroën C4 1,6 HDi 92 Seduction",52900,175000,2012,92,24,180,Diese,1.350,1.180,Manue,5
"Citroën C1 1,0 e-VTi 68 Feel Airscape",54900,107000,2015,68,26,157,Benzin,,876,Manue,5
"Citroën C3 Aircross 1,6 BlueHDi 100 Iconic",159800,54000,2018,100,27,175,Diese,840,1.178,Manue,5
"Citroën C4 1,2 PT 110 Feel Comple",119800,74000,2016,110,21,184,Benzin,1.450,1.370,Manue,5
"Citroën C3 Picasso 1,4 VTi 95 Comfo",55000,113000,2009,95,15,178,Benzin,1.100,1.234,Manue,5
"Citroën C4 Cactus 1,6 e-HDi 92 Feel ETG6",109800,98000,2015,92,29,184,Diese,865,1.055,Automatis,5
"Citroën C3 1,2 PT 82 Iconic",99900,69000,2018,82,22,177,Benzin,450,955,Manue,5
"Citroën C3 1,6 BlueHDi 75 Iconic",94900,73000,2018,75,31,174,Diese,600,1.065,Manue,5
Citroën C3,174680,3000,2020,100,31,188,Diese,600,1.065,Manue,5
"Citroën C4 1,6 e-HDi 112 Seduction E6G",82000,138000,2012,112,26,190,Diese,400,1.440,Automatis,5
"Citroën C3 Aircross 1,5 BlueHDi 100 Shine Spo",224800,3000,2020,100,28,184,Diese,840,1.278,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Shine",64700,238000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën DS3 1,6 e-HDi 92 Style",65900,144000,2014,92,28,182,Diese,500,1.085,Manue,3
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Intensive ETG6",119700,181000,2014,115,25,189,Diese,,1.295,Automatis,5
"Citroën Xsara 1,6i 90HK 5d",12900,299000,2001,,14,,,,,,
"Citroën C4 1,6 e-HDi 115 Seduction",69800,135000,2013,115,26,190,Diese,1.300,1.440,Manue,5
"Citroën C4 1,6 BlueHDi 100 Challenge",104900,72000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 Cactus 1,6 e-HDi 92 Feel ETG6",93500,98000,2015,92,29,184,Diese,865,1.055,Automatis,5
"Citroën C4 1,6 HDI  5d",1234,1234,2010,110,,,Diese,,,Manue,
"Citroën C4 Cactus 1,6 BlueHDi 100 Iconic",124880,69000,2018,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 1,6 BlueHDi 100 Millesime",129000,73000,2018,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 1,2 PT 130 Feel EAT6",147900,38000,2015,130,21,197,Benzin,1.550,1.410,Automatis,5
"Citroën Grand C4 SpaceTourer 2,0 BlueHDi 160 Intensive+ EAT8",307800,61000,2019,160,23,210,Diese,1.600,1.712,,5
"Citroën C3 1,6 BlueHDi 75 Fee",104900,65000,2017,75,31,174,Diese,600,1.065,,5
"Citroën C1 1,0",27999,153000,2010,68,,,Benzin,,,,
"Citroën Grand C4 Picasso 2,0 e-HDi 150 Exclusive au",129900,264000,2014,150,22,207,Diese,1.300,1.710,Automatis,5
"Citroën C4 SpaceTourer 1,2 PT 130 Platinu",214900,38000,2019,130,21,201,Benzin,1.470,1.505,Manue,5
"Citroën C3 1,6 BlueHDi 100 Seduction Upgrade",84800,70000,2015,100,33,189,Diese,1.150,1.280,Manue,5
Citroën Xsara Picasso Exclusive Weekend,6800,369000,2002,116,13,190,Benzin,1.300,1.225,Manue,5
"Citroën C4 1,2 PT 110 Feel Comple",109900,66000,2016,110,21,184,Benzin,1.450,1.370,Manue,5
"Citroën C3 1,5 BlueHDi 100 Fee",144800,16000,2020,100,34,188,Diese,600,1.065,Manue,5
"Citroën C4 Picasso 1,2 PT 130 Coo",196800,44000,2017,130,20,201,Benzin,1.470,1.505,Manue,5
Citroën C1 i Seduction 68HK 5d,49900,64000,2013,,23,,Benzin,,,Manue,
"Citroën C4 Cactus 1,2 PT 82 Feel ETG",117900,68000,2016,82,23,172,Benzin,725,975,Automatis,5
"Citroën C1 1,0 e-VTi 68 Fee",54995,99000,2015,68,26,157,Benzin,,860,Manue,5
"Citroën C5 2,0 HDi 138 Dynamique",49400,182000,2009,138,17,204,Diese,1.820,1.583,Manue,4
"Citroën C1 1,0 cli",19000,152000,2010,68,,,Benzin,,,Manue,
"Citroën C3 Picasso 1,6 HDi 90 Seduction",57900,221000,2013,90,25,174,Diese,1.200,1.401,Manue,5
"Citroën Grand C4 Picasso 1,6 HDi 110 VTR+ 7prs",34900,208000,2007,110,17,180,Diese,880,1.505,Manue,5
"Citroën C5 1,6 e-HDi 112 Seduction Tourer E6G",79900,133000,2011,112,22,190,Diese,1.000,1.440,Automatis,5
"Citroën C3 1,4 HDi 70 Attraction",74900,48000,2014,70,26,163,Diese,700,1.190,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Cool Comfo",119500,45000,2016,100,32,184,Diese,870,1.070,Manue,5
"Citroën C1 1,0 VTi 72 Stree",84900,15000,2019,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 Triumph Airscape",109900,8000,2020,72,30,160,Benzin,,966,Manue,5
"Citroën C1 1,2 PT 82 Iconic",69900,61000,2018,82,23,170,Benzin,,865,Manue,5
"Citroën Grand C4 Picasso 1,6 HDi 110 VTR 7prs",44900,213000,2010,110,18,180,Diese,880,1.505,Manue,5
Citroën C4 Picasso,129900,117000,2014,115,25,189,Diese,1.600,1.555,Automatis,5
"Citroën DS5 1,6 e-HDi 115 Design ETG6",129900,62000,2013,115,23,191,Diese,1.100,1.593,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 SkyLine",139800,43000,2018,100,28,184,Diese,950,1.218,Manue,5
"Citroën C3 1,5 Blue HDi Shine Sport 100HK 5d",127545,0,2021,100,31,,Diese,,,,
Citroën C4 Cactus D 92HK 5d 6g Au,119300,66000,2015,92,,,Diese,,,Automatis,
"Citroën DS3 1,6 e-HDi 90 DStyle",44800,182000,2011,90,28,182,Diese,500,1.085,,3
"Citroën C2 1,6 16V VTR Sensodrive",19900,222000,2003,110,16,195,Benzin,450,1.050,Automatis,3
"Citroën Grand C4 Picasso 2,0 e-HDi 150 Exclusive au",139800,158000,2014,150,22,207,Diese,1.300,1.710,Automatis,5
"Citroën C4 Cactus 1,2 PT 82 Feel Edition ETG",109800,127000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën C3 1,2 VTi 82 Seduction",79900,16000,2013,82,22,174,Benzin,800,1.140,Manue,5
"Citroën C1 1,0 e-VTi 68 Feel Airscape",59900,46000,2014,68,26,157,Benzin,,876,Manue,5
"Citroën Grand C4 Picasso 1,6 HDI Attraction  6",69900,199000,2013,112,19,181,Diese,,2.250,Manue,4
"Citroën C3 Aircross 1,6 Blue HDi Feel+ start/stop 100HK 5d",154900,65000,2017,100,27,,Diese,,,,
"Citroën C3 Picasso 1,6 HDI Seduction 90HK",49900,124000,2011,90,22,,Diese,,,,5
"Citroën C4 1,6 BlueHDi 100 Feel+",109900,82000,2017,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën DS5 2,0 BlueHDi 180 Design EAT6",174800,143000,2015,180,23,220,Diese,1.500,1.725,Automatis,5
