model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Mercedes C220 d 2,2 Avantgarde stc. au",314900,104000,2017,170,23,229,Diese,1.800,1.515,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. au",379800,119000,2018,170,21,229,Diese,1.800,1.515,Automatis,5
"Mercedes C220 d 2,0 Advantage stc. au",379700,93000,2018,194,23,233,Diese,1.800,1.545,Automatis,5
"Mercedes C300 2,2 BlueTEC Hybrid AMG Line stc",,113000,2015,204,24,238,Diese,1.800,1.765,Automatis,5
"Mercedes C200 1,5 stc. au",389900,30000,2018,184,16,235,Benzin,1.800,1.465,Automatis,5
"Mercedes E220 d 2,0 stc. au",419800,151000,2019,194,22,235,Diese,2.100,1.680,Automatis,5
"Mercedes CLA200 1,6 Shooting Brake au",244995,168000,2017,156,18,225,Benzin,1.400,1.460,Automatis,5
"Mercedes E220 d 2,0 Avantgarde stc. au",319800,222000,2017,194,24,235,Diese,2.100,1.680,Automatis,5
"Mercedes E220 d 2,0 AMG Line au",499900,67000,2017,194,23,240,Diese,2.100,1.680,Automatis,4
"Mercedes S350 3,0 BlueTEC AMG Line aut. 4Matic",759900,135000,2014,258,16,250,Diese,2.100,1.925,Automatis,4
"Mercedes C220 d 2,0 Avantgarde stc. aut. 4Matic",369800,116000,2019,194,21,233,Diese,1.800,1.615,Automatis,5
"Mercedes CLA220 2,2 CDi Urban Shooting Brake au",249700,105000,2015,177,23,228,Diese,1.500,1.555,Automatis,5
Mercedes E250 d CDI BlueEfficiency 204HK Cabr. 7g Au,378800,96000,2013,,18,,Diese,,,Automatis,
"Mercedes C450 AMG T 3,0 7G-Tronic Plus 367HK Stc 7g Au",598800,83000,2016,,13,,Benzin,,,Automatis,
Mercedes A180 d CDI 7G-DCT 116HK 5d 7g Au,274400,72000,2018,,24,,Diese,,,,
"Mercedes C200 T 2,0 184HK Stc 6",264900,37000,2015,,,,Benzin,,,,
"Mercedes S560 e 3,0 Lang 3,0 Plugin-hybrid 9G-Tronic 489HK 9g Au",1349000,23000,2019,489,23,,other,,,,4
"Mercedes C220 d 2,2 Business stc. au",335000,78000,2017,170,,229,Diese,1.800,1.515,Automatis,5
"Mercedes C220 d 2,0 Avantgarde stc. au",399900,51000,2019,194,23,233,Diese,1.800,1.545,Automatis,5
"Mercedes SLK200 1,8 aut. BE",399900,99000,2015,184,16,237,Benzin,,1.370,Automatis,2
"Mercedes E220 d 2,0 AMG Line stc. au",469900,98000,2017,194,22,235,Diese,2.100,1.680,Automatis,5
"Mercedes 280 SE 2,8 au",119800,187000,1979,185,8,195,Benzin,1.500,1.475,Automatis,4
"Mercedes C200 2,2 CDi Avantgarde stc. au",100000,275000,2009,136,15,204,Diese,1.800,1.545,Automatis,5
"Mercedes GLB200 1,3 AMG Line au",479900,14000,2020,163,18,207,Benzin,1.800,1.555,Automatis,5
"Mercedes E300 de 2,0 Avantgarde stc. au",579900,19000,2021,306,31,250,Diese,2.100,2.145,Automatis,5
"Mercedes GLC350 e 2,0 AMG Line aut. 4Matic",519900,91000,2018,320,25,235,Benzin,2.000,2.025,Automatis,5
"Mercedes C200 2,2 CDi stc. aut. BE",168000,163000,2014,136,20,207,Diese,1.800,1.545,Automatis,5
"Mercedes C220 d 2,2 Business au",299800,139000,2018,170,23,235,Diese,1.800,1.570,Automatis,4
"Mercedes B180 1,8 CDi aut. BE",149900,153000,2012,109,23,190,Diese,1.200,1.405,Automatis,5
"Mercedes C220 2,2 BlueTEC stc. au",274900,75000,2015,170,22,229,Diese,1.800,1.515,Automatis,5
"Mercedes C220 d 2,2 AMG Line stc. au",358900,40000,2017,170,21,231,Diese,1.800,1.615,Automatis,5
"Mercedes S350 d 3,0 aut. 4Matic",739800,168000,2015,258,15,250,Diese,2.100,2.025,Automatis,4
"Mercedes CLA220 d 2,2 au",259995,126000,2015,177,24,232,Diese,1.500,1.525,Automatis,4
"Mercedes SL55 5,4 AMG au",520000,114000,2004,628,8,250,Benzin,,1.955,Automatis,2
"Mercedes C300 h 2,2 HYBRID AMG Line Pac",75000,9600,2018,231,,,other,,,Automatis,
"Mercedes ML250 2,2 BlueTEC - Automatisk - 65.000",55000,65000,2014,204,,,Diese,,,Automatis,
