model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Alfa Romeo Giulietta 2,0 JTD 140 Sportiva QV",109900,118000,2013,140,22,205,Diese,1.300,1.295,Manue,5
"Alfa Romeo Giulia 2,0 T 200 Sprint au",509900,14000,2020,200,17,230,Benzin,1.600,1.404,Automatis,4
"Alfa Romeo Giulietta 2,0 JTD 140 Sportiva QV",173900,67000,2014,140,22,205,Diese,1.300,1.295,Manue,5
"Alfa Romeo GT 2,0 JTS Lusso",169900,132000,2007,165,12,216,Benzin,1.300,1.295,Manue,3
"Alfa Romeo Giulietta 1,4 M-Air 170 Distinctive TCT",119900,137000,2012,170,19,218,Benzin,1.300,1.285,Automatis,5
"Alfa Romeo Giulia 2,0 T 280 Veloce aut. Q4",479800,26000,2019,280,14,240,Benzin,1.600,1.505,Automatis,4
"Alfa Romeo 159 2,2 JTS Lusso Sportwagon",49999,165000,2007,185,10,222,Benzin,1.500,1.528,Manue,5
"Alfa Romeo Giulietta 2,0 JTD 150 Distinctive",119700,174000,2015,150,24,210,Diese,,1.320,Manue,5
"Alfa Romeo 159 1,9 JTDm Distinctive Sportwagon",44900,240000,2010,150,17,210,Diese,1.500,1.667,Manue,5
"Alfa Romeo 159 2,4 JTDM",30000,240000,2007,200,,,Diese,,,Manue,
"Alfa Romeo Giulietta 1,4 M-Air 170 Distinctive",149900,120000,2014,170,18,218,Benzin,,1.290,Manue,5
"Alfa Romeo 159 1,9 JTS  6",39900,178000,2008,160,12,,Benzin,,2.000,Manue,
"Alfa Romeo Giulietta 1,4 Turbo 120 Progression",69800,193000,2012,120,16,195,Benzin,1.300,1.255,,5
"Alfa Romeo Giulietta 2,0 JTD 170 Distinctive",69700,246000,2012,170,21,218,Diese,1.300,1.295,Manue,5
"Alfa Romeo 159 1,9 JTS",49900,118000,2008,160,12,212,Benzin,1.500,1.475,Manue,4
"Alfa Romeo GT 1600 1,6 Junior Bertone",269900,76000,1975,103,,,Benzin,,,Manue,2
"Alfa Romeo Spider 1,6",145000,999000,1984,109,,,Benzin,,,Manue,2
"Alfa Romeo Giulietta 1,4 1.4 TB 120",128800,84000,2013,119,,,Benzin,,,Manue,
"Alfa Romeo Spider 2,0 JTDm 16V",229900,180000,2010,170,18,215,Diese,1.500,1.615,Manue,2
"Alfa Romeo Giulia TB 200 Aut. 2,0",319000,27500,2018,200,,,Benzin,,,Automatis,
"Alfa Romeo 156 2,4 Sportwagon  JTD 20V  Stc 6",49900,291000,2005,175,15,,Diese,,1.930,Manue,
"Alfa Romeo Stelvio 2,2 Turbo Super Q4  5d 8g Au",458900,36400,2019,210,21,215,Diese,,2.330,Automatis,5
"Alfa Romeo Stelvio 2,2 Turbo  5d 8g Au",449900,17400,2019,180,21,210,Diese,,2.275,Automatis,4
"Alfa Romeo 4C 1,7 Spider  Turbo TCT  Cabr. 6g Au",585100,0,2018,240,14,257,Benzin,,1.220,Automatis,2
"Alfa Romeo MiTo 1,4 TB 155 Progression",74400,94000,2009,155,15,215,Benzin,500,1.120,Manue,3
"Alfa Romeo Giulietta 1,6 JTD 105 Progression",94900,118000,2010,105,23,185,Diese,1.300,1.285,Manue,5
"Alfa Romeo 166 2,5 V6 24V",39900,322000,1999,190,9,,Benzin,,2.000,Manue,
"Alfa Romeo MiTo 1,4 M-Air 170 Quadrifoglio Verde",79400,195000,2010,170,17,219,Benzin,1.000,1.195,Manue,3
"Alfa Romeo Giulia 2,2 D Super  8g Au",299900,73000,2018,180,26,230,Diese,,2.020,Automatis,4
"Alfa Romeo GT 2,0 JTS Lusso  3d",99000,130000,2005,165,12,,Benzin,,1.850,Manue,
"Alfa Romeo 166 2,4 20V JTD  Au",39900,322000,2003,175,11,,Diese,,2.100,Automatis,4
"Alfa Romeo Stelvio 2,0 TB Veloce Q4  5d 8g Au",749795,25,2020,280,16,230,Benzin,,2.350,Automatis,5
"Alfa Romeo Giulia 2,0 Turbo Super  8g Au",349800,33200,2018,200,17,235,Benzin,,2.005,Automatis,4
"Alfa Romeo Giulietta 2,0 JTD 175 Distinctive TCT",179900,87000,2015,175,23,219,Diese,600,1.310,Automatis,5
"Alfa Romeo Giulia 2,0 Turbo Veloce Q4  8g Au",474795,21200,2019,280,14,240,Benzin,,2.105,Automatis,4
"Alfa Romeo Stelvio 2,0 TB Edizione Q4  5d 8g Au",499790,29000,2018,200,14,215,Benzin,,2.300,Automatis,5
"Alfa Romeo GTV 3,0 V6 L 24V",109900,168000,1999,218,8,240,Benzin,1.000,1.375,Manue,2
"Alfa Romeo Giulietta 2,0 JTD 150 Distinctive",169900,99000,2015,150,24,210,Diese,,1.320,Manue,5
"Alfa Romeo 147 1,6 TS 16V 105",49990,35000,2001,105,12,185,Benzin,1.300,1.175,Manue,3
"Alfa Romeo Giulietta 1,7 1750 TBI",137000,132000,2011,231,,,Benzin,,,Manue,
"Alfa Romeo Giulietta 1,4 Multiair Edizione TCT  5d 6g Au",269900,18500,2019,170,20,218,Benzin,,1.810,Automatis,5
"Alfa Romeo 156 2,0 JTS ""lusso""",35000,154000,2004,165,,,Benzin,,,Manue,
"Alfa Romeo Giulietta 1,4 Multiair Edizione TCT  5d 6g Au",249900,47000,2018,170,20,218,Benzin,,1.810,Automatis,5
"Alfa Romeo Giulietta 1,4 Multiair Sprint  5d 6",179900,22000,2015,150,18,210,Benzin,,1.795,Manue,4
